Date,price,trend_rsi,mom_moms,trend_stok,trend_stod,volume_obv,trend_sma,trend_p2sma,trend_ema,trend_p2ema,trend_macd,vol_bbl,vol_bbh,vol_bbp,mom_mfi,mom_tsi,mom_kama,trend_vi,trend_trix,trend_mi,trend_cci,trend_dpo,trend_kst,trend_ichimoku,trend_sar,vol_atr,vol_kc,vol_dc_hband,vol_dc_lband,volume_adi,volume_cmf,volume_vpt,volume_nvi
2020-01-16,312.89,0.0,-0.040077982677618196,0.7916026625704046,0.7615634067246972,1.0,307.264,1.0183099875026036,312.89,1.0,0.0,182.20488345464827,439.800830831066,0.5073259803827008,50.0,0.0,312.89,0.0,80.59648762260096,1.0,0.0,-140.185413590304,811.7063738987866,313.895,312.89,0.0,,315.7,312.09,-8767789.263157822,-0.5567867036011034,12790797.167195184,1000.0
2020-01-15,311.34,0.0,-0.040077982677618196,0.7122375832053245,0.7615634067246972,-30081003.0,307.264,1.0132654655280149,312.6081818181818,0.9962800297597618,-0.1808333333333394,182.20488345464827,439.800830831066,0.5013088049737452,0.0,-100.0,312.2727641513447,-0.018396001152051047,-0.002977501208491807,2.101090830543254,-66.66666666666667,-139.41041359030402,809.4626581524036,312.625,311.34,0.0,,315.7,309.55,-20749634.553914458,-0.45277072094052057,12633025.11326308,1000.0
2020-01-14,312.68,51.3767863367031,-0.040077982677618196,0.7808499743983626,0.7615634067246972,10572454.0,307.264,1.0176265361383046,312.62123966942147,1.0004259361095835,-0.13601388888889687,182.20488345464827,439.800830831066,0.5065107501660037,57.63015327441661,-98.09713149673385,312.43477316002753,0.012566423732231567,-0.004734455206695218,3.23447427663028,75.29069767442019,-139.59874692363735,809.0782509385072,313.56,309.55,0.0,,317.57,309.55,-53724105.231692344,-0.6212201734241151,25955.709778935387,1000.0
2020-01-13,316.96,83.82275251581636,-0.040077982677618196,1.0,0.8310291858678958,40601196.0,307.264,1.0315559258487814,313.4101051840721,1.0105526609314417,0.3969858796296535,182.20488345464827,439.800830831066,0.5231259183920228,70.30704703597388,-90.70403280929598,314.20689252914724,0.0026692255875985227,0.002580964682786325,4.399923930742499,101.61443494776785,-140.76291359030398,810.5712467389229,313.56,309.55,0.0,,317.57,309.55,-24811296.211422212,-0.2129536226554596,586008.4110719382,1013.688115645388
2020-01-10,310.33,37.034183590206794,-0.040077982677618196,0.660522273425499,0.8137907492746206,5383924.0,307.264,1.0099783899187669,312.85008605969534,0.9920397792511296,-0.043297133487669726,182.20488345464827,439.800830831066,0.4973879358362967,52.244874592885516,-85.63920464085729,312.77533524594935,-0.04045807406691672,0.0014756133458715996,5.519099205772523,-123.26000497141128,-140.13541359030398,810.7403698290534,312.90999999999997,317.57,0.0,,317.57,308.25,-26882900.446716703,-0.1771787112159911,-325619.1938957084,1013.688115645388
2020-01-09,309.63,34.545851002761665,-0.040077982677618196,0.6246799795186895,0.7617340843147294,-37237618.0,307.264,1.0077002187044366,312.26461586702345,0.9923320042090552,-0.40970452089760556,182.20488345464827,439.800830831066,0.49467050178063937,39.90439739653682,-81.99980642447352,311.6778270194129,-0.06412487992973473,-0.005498988825819467,6.598076211551346,-125.30541012216217,-139.60041359030402,810.3368226743814,311.885,317.3836,0.0,,317.57,306.2,-382981.8982535079,-0.001970587038784515,-832795.9362700265,1013.688115645388
2020-01-08,303.19,19.678459997116647,-0.040077982677618196,0.2949308755760368,0.5267110428400751,-70328564.0,307.264,0.9867410435325973,310.6146857093828,0.9786180369825862,-1.3855458386842088,182.20488345464827,439.800830831066,0.46967010846859164,33.84208497892804,-80.0590836067473,309.0735307768692,-0.12156973507946701,-0.02742033457775509,7.759185064032556,-184.3826482764921,1.8871428571428623,808.9714729804501,307.363,316.936256,0.0,,317.57,297.156,21351308.07807765,0.09387662641053095,-784399.0367392193,992.6043980961962
2020-01-07,298.39,14.13628984855535,-0.040077982677618196,0.0491551459293385,0.32292200034135493,-98206219.0,307.264,0.9711192980629035,308.39201558040406,0.9720863393110765,-2.533657833956056,180.1334548832197,437.7294022596374,0.45907766143531487,30.03239350405103,-79.23638367812089,305.84801901558586,-0.13468878879831306,-0.06469141964371455,8.826122921311882,-148.33177134583187,1.9137499999999932,806.8063451382957,307.363,315.74944064,0.0,,317.57,297.156,8309130.300299533,0.03254427301138962,-1129608.651578882,976.889826009842
2020-01-06,299.8,22.021143877662297,-0.040077982677618196,0.12135176651305724,0.15514592933947752,-68561575.0,307.264,0.9757081857946261,306.8298309294215,0.9824072810494029,-3.030975369750877,178.4848834546483,436.080830831066,0.47095118452340146,26.835261645277768,-77.2449819300087,303.97336824960524,-0.15825047785997431,-0.10407624923901296,9.963148583021834,-121.1955058829759,4.3233333333333235,804.4342303744497,305.15999999999997,314.6338342016,0.0,,317.57,292.75,36638061.945237376,0.12857157205736403,-301267.8659896236,976.889826009842
2020-01-03,297.43,18.526135286515284,-0.040077982677618196,0.0,0.05683563748079858,-105195453.0,307.264,0.9679949489689648,305.1207707604358,0.9808594687783665,-3.529699255692435,176.30631202607685,433.90225940249456,0.47020804949593603,35.3582600110184,-76.07019936012442,301.95979029219944,-0.13360463047049675,-0.14519892611040638,11.031233537666688,-92.50521398855285,9.69599999999997,800.814690649962,305.15999999999997,312.883127465472,6.412399999999996,307.02519666666666,317.57,292.75,16704922.445237566,0.051943770233716303,-149519.10529272526,976.889826009842
